taxi_renavam,taxi_placa,taxi_chassi,taxi_modelo,taxi_marca,taxi_ano,taxi_status
27263638,GPL6035,5FP862NQ64W880179,Delaware,McKeesport,2005,0
73389718,JJF3294,0HX829DQ34H169109,Idaho,Corinth,2002,0
27136105,NUU3478,6WN818DI76J171818,Maryland,Wilson,2003,0
50723981,AGI6709,9AK266TL95Z248195,South,Needham,1990,1
17779163,SUD6076,9DE272VT61A722345,North,Kansas,2003,1
39741758,WZA6363,4CS934TA54P943878,Indiana,West,2002,0
67123228,PBD7603,3CE784ZT53I078574,Vermont,South,2018,1
29847729,VYC7619,2TS830HG39L273032,Vermont,Charleston,2004,0
25211894,SZB2604,5YY486AD05F066080,Minnesota,Buena,2009,0
58179517,RDH9399,6OP551OQ97Z726120,Missouri,Moultrie,2002,0
76365079,YNP8050,1SO512BQ64J129543,Arizona,Scottsdale,1991,0
18387425,JWR3153,1HC918MU94N276501,California,Rancho,2018,0
30692061,FDH0909,7GY677XD82H528268,Ohio,Cody,1991,1
79333748,JMF3217,0QL159XS18K286829,Idaho,Liberal,1992,0
71780170,OCT2164,9HC279MW17E274394,Alaska,Highland,2007,1
40771847,NGC5574,3KM593WS01H500653,North,Durham,2004,0
74227121,YHH7249,6XB864UU51P491648,Texas,Monterey,1998,0
79425637,XAU2477,2QZ305AA75K574695,Delaware,Berlin,2001,0
84218005,XNV6198,0PL130XJ33E932247,Delaware,Concord,1990,1
51864431,HEO3953,6KV810NQ17H023031,Massachusetts,Beverly,2013,0
31972435,EVX3108,1KG625DH68J421890,Missouri,Seal,2008,0
78209462,BJY2974,3HC077WT99G540471,Alabama,Cicero,2013,1
54488515,KIV1179,0CN661TJ19X181742,Tennessee,Beverly,1999,0
86902266,EMM0080,5UV989OR82K546296,Illinois,Augusta,1995,0
45345655,PDT2087,5FR571LJ92U681449,Vermont,Bowling,1993,1
50070655,NTJ8143,2QL323DS24J689111,Oregon,Merizo,2007,1
24610631,PEJ3925,1DV187TI77I729637,New,Compton,2001,1
77148442,WJQ3782,0HI691HJ40Z893990,Montana,Bayamon,2014,1
68728479,JLS8346,4UK172BT95V349371,Texas,Urbana,2011,0
82678565,MLJ2352,4AO795IS49E721629,Vermont,Newark,2009,0
42364180,BSP1460,9BJ117HX82R954551,Nevada,Sheridan,2003,1
14662874,JDU2884,9XW296KM75R033569,District,Hannibal,2003,0
49856453,UVR6272,3XF481LT38R360794,Florida,Waterloo,2001,0
61890708,RZK4632,4AC778NH09P428457,District,Kettering,2018,0
86842544,ZDZ1301,1YD408VR29Z269766,Delaware,Los,2004,0
33081466,TUP5673,0PQ813SH78E225550,Nebraska,Manitowoc,2011,1
49441622,FPH1742,7OG505HF97Z204599,California,Rialto,2018,1
64500207,BDG6867,9PM743ZF79W483775,Delaware,Franklin,2009,0
84989754,QCJ3571,1OU467KY61G867311,Wisconsin,Laredo,2004,0
85708103,QWV0160,5FF400TE92C651326,Nebraska,The,2017,1
24948869,BFC0912,7AO459SY19V946187,Rhode,New,1992,1
